name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
0.675   -> 16.477833369567502 -0.004810360104600843 1999.6993465167113
0.680   -> 16.595184523847742 -0.005003444723010345 1999.6999023151789
0.685   -> 16.71246931944147 -0.005198640325968539 1999.7004403526332
0.690   -> 16.829688778387148 -0.005395863192913351 1999.7009571356973
0.695   -> 16.946843927462222 -0.005595028851009228 1999.7014491600837
0.700   -> 17.063935796423305 -0.0057960522205207626 1999.7019129131393
0.705   -> 17.1809654162823 -0.005998847757951775 1999.70234487637
0.710   -> 17.297933817623193 -0.006203329596532421 1999.7027415279426
0.715   -> 17.4148420289638 -0.006409411683663486 1999.7030993451624
0.720   -> 17.531691075166584 -0.006617007914954375 1999.7034148069251
0.725   -> 17.648481975902158 -0.006826032264519523 1999.7036843961414
0.730   -> 17.765215744168867 -0.0070363989112265345 1999.7039046021307
0.735   -> 17.881893434761324 -0.007248039188982628 1999.7040717921477
0.740   -> 17.998516142145025 -0.007460901475317246 1999.7041822136098
0.745   -> 18.11508494937223 -0.0076749343637341535 1999.7042321265621
0.750   -> 18.23160092658452 -0.007890086688745909 1999.7042178064175
0.755   -> 18.348065129589394 -0.008106307550702562 1999.7041355466565
0.760   -> 18.464478598513317 -0.008323546340429599 1999.7039816614902
0.765   -> 18.580842356533342 -0.008541752763689358 1999.7037524884772
0.770   -> 18.69715740868905 -0.008760876865479215 1999.7034443910986
0.775   -> 18.81342474077624 -0.008980869054178718 1999.7030537612825
0.780   -> 18.929645318323434 -0.009201680125556616 1999.7025770218809
0.785   -> 19.045820085651957 -0.00942326128664737 1999.7020106290938
0.790   -> 19.16194996502005 -0.009645564179505331 1999.7013510748395
0.795   -> 19.27803585585112 -0.00986854090484328 1999.7005948890685
0.800   -> 19.394078634045986 -0.010092144045560497 1999.6997386420192
0.805   -> 19.51007915137868 -0.010316326690164012 1999.698778946415
0.810   -> 19.626038234975038 -0.010541042456085174 1999.697712459597
0.815   -> 19.741956686873166 -0.010766245512892151 1999.696535885596
0.820   -> 19.8578352836645 -0.010991890605397557 1999.6952459771373
0.825   -> 19.973674776214 -0.011217933076658977 1999.6938395375798
0.830   -> 20.089475889457844 -0.011444328890868893 1999.6923134227854
0.835   -> 20.20523932227665 -0.011671034656129235 1999.6906645429212
0.840   -> 20.320965747442212 -0.011898007647104697 1999.6888898641892
0.845   -> 20.436655811635443 -0.012125205827547902 1999.6869864104838
0.850   -> 20.552310135533112 -0.012352587872688631 1999.6849512649778
0.855   -> 20.667929313960812 -0.012580113191478538 1999.6827815716335
0.860   -> 20.783513916109417 -0.012807741948682092 1999.6804745366392
0.865   -> 20.899064485812232 -0.013035435086804019 1999.678027429771
0.870   -> 21.014581541879874 -0.013263154347843061 1999.6754375856788
0.875   -> 21.13006557848988 -0.013490862294861645 1999.6727024050954
0.880   -> 21.24551706562794 -0.013718522333360888 1999.6698193559703
0.885   -> 21.360936449577576 -0.013946098732450375 1999.6667859745269
0.890   -> 21.47632415345509 -0.014173556645802218 1999.6635998662432
0.895   -> 21.591680577786512 -0.014400862132379158 1999.6602587067564
